"","vin","stock_number","is_new","year","make","model","body_style","trim","odometer","color","color","price","image_url","url","interior_color","fuel_type"
58,"KL7CJPSM4NB525073","A49688NP",False,2022,"Chevrolet","Trax","","LT AWD 1.4L ",38144,"White","",24200.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/f0eef13ed9e123ac6fd11e817c767b1dcbc14fbf.jpg","https://dealer.vip/U7vBZozx8e7v","",""
59,"1GCRYDED5KZ278880","A49692PT",False,2019,"Chevrolet","Silverado 1500","","Extended Cab",53942,"White","",33300.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/6233d5e220bb425fa39ca18d24886cb4a6b0a853.jpg","https://dealer.vip/HEsrSnhAcCoC","",""
60,"1C4RJKBG4M8174123","A49695ET",False,2021,"Jeep","Grand Cherokee L","","Utility 4D L",32257,"Silver","",40080.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/3234ac4a1cdac635d7dc95e46e531825e314575a.jpg","https://dealer.vip/HQysanmUI9w0","",""
61,"1GTR9CED8MZ130006","A49693HP",False,2021,"GMC","Sierra 1500","","Extended Cab",10375,"Silver","",44989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/09e7d44dfb767539845f882cb228187dcdf6cc02.jpg","https://dealer.vip/d7wTon69Wrmd","",""
62,"KNDPMCAC2J7415679","A49697PT",False,2018,"Kia","Sportage","","Utility 4D L",94175,"Silver","",17300.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/98c5ffec7324e39486c1f3c11d4374ba81a6c0cf.jpg","https://dealer.vip/sUgxGmqKlPFZ","",""
63,"YV4982CZ0A1546375","G49677DT",False,2010,"Volvo","XC90","","Utility 4D 7",200097,"Silver","",4998.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/60cc645132f7d528e404cdb5027ddca097072df2.jpg","https://dealer.vip/bfrNbtgLPc7Y","",""
64,"3GCUKSEC3GG273367","A49672UT",False,2016,"Chevrolet","Silverado","","LTZ",152429,"Silver","",25932.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/5e4e4ce9c326f11bc4111779a1b3ce5e0d254b0d.jpg","https://dealer.vip/KNAoTQve3pmt","",""
65,"1GNKRGKD3HJ258629","A49685CT",False,2017,"Chevrolet","Traverse","","Utility 4D L",74338,"Silver","",17407.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/2aaf63a45889ecf6c89a7241185d7c8c88cb5a55.jpg","https://dealer.vip/8dtHgXvYs2pG","",""
66,"KM8SNDHF8HU233912","A49678PT",False,2017,"Hyundai","Santa Fe","","Utility 4D L",0,"Silver","",19989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/d1403afab3d6fe207542a949d14c19f3ac70d310.jpg","https://dealer.vip/HdohKAtj0v-R","",""
67,"1GCPTCEK7P1238191","A49676PT",False,2023,"Chevrolet","Colorado","","Crew Cab LT ",0,"Silver","",44400.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/c0a39b05d0ea2eca5489109d5977e1932d137234.jpg","https://dealer.vip/A3OfDNxDenG5","",""
